data,casi,casi_media7gg
2020-08-25,1488,1256.142857142857
2020-08-26,1417,1266.0
2020-08-27,1446,1250.142857142857
2020-08-28,1366,1219.2857142857142
2020-08-29,1001,1197.5714285714287
2020-08-30,504,1208.5714285714287
2020-08-31,1313,1215.7142857142858
2020-09-01,1336,1242.857142857143
2020-09-02,1494,1253.0
2020-09-03,1496,1252.857142857143
2020-09-04,1556,1275.857142857143
2020-09-05,1072,1299.2857142857142
2020-09-06,503,1303.5714285714287
2020-09-07,1474,1312.4285714285713
2020-09-08,1500,1310.142857142857
2020-09-09,1524,1320.142857142857
2020-09-10,1558,1324.4285714285713
2020-09-11,1540,1334.142857142857
2020-09-12,1142,1365.142857142857
2020-09-13,533,1358.2857142857142
2020-09-14,1542,1366.857142857143
2020-09-15,1717,1401.5714285714287
2020-09-16,1476,1417.5714285714287
2020-09-17,1618,1425.5714285714287
2020-09-18,1783,1469.5714285714287
2020-09-19,1254,1488.0
2020-09-20,589,1552.2857142857142
2020-09-21,1850,1587.857142857143
2020-09-22,1846,1617.5714285714287
2020-09-23,1926,1633.857142857143
2020-09-24,1867,1661.5714285714287
2020-09-25,1991,1697.4285714285713
2020-09-26,1368,1744.857142857143
2020-09-27,783,1818.857142857143
2020-09-28,2101,1958.5714285714287
2020-09-29,2178,2118.285714285714
2020-09-30,2444,2262.1428571428573
2020-10-01,2845,2383.0
2020-10-02,3109,2704.4285714285716
2020-10-03,2375,3059.285714285714
2020-10-04,1629,3459.1428571428573
2020-10-05,4351,3890.5714285714284
2020-10-06,4662,4395.857142857143
2020-10-07,5243,4880.857142857143
2020-10-08,5865,5100.285714285715
2020-10-09,6646,5786.714285714285
2020-10-10,5770,6552.428571428572
2020-10-11,3165,7374.0
2020-10-12,9156,8204.0
2020-10-13,10022,9149.714285714286
2020-10-14,10994,9950.42857142857
2020-10-15,11675,10361.285714285714
2020-10-16,13266,11508.285714285714
2020-10-17,11375,12808.714285714286
2020-10-18,6041,14405.285714285714
2020-10-19,17185,16110.42857142857
2020-10-20,19125,17876.714285714286
2020-10-21,22170,19053.714285714286
2020-10-22,23611,19710.571428571428
2020-10-23,25630,21253.571428571428
2020-10-24,19614,22942.0
2020-10-25,10639,24548.85714285714
2020-10-26,27986,25827.14285714286
2020-10-27,30944,27130.0
2020-10-28,33418,27890.285714285714
2020-10-29,32559,28230.571428571428
2020-10-30,34750,29178.285714285714
2020-10-31,24936,30088.714285714286
